Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21612	-	1	-	1026881	1027414	0.790262	0.277485	0.336072
g21614	-	1	+	1045444	1046427	147.245941	51.702564	62.618721
g21615	-	1	+	1064077	1065057	34.698269	12.183625	14.756001
g21621	-	1	+	1141502	1142461	95.548950	33.550163	40.633739
g21622	-	1	-	1166624	1169197	41.372974	14.527320	17.594528
g21623	-	1	-	1169258	1175136	6.100000	2.141897	2.594124
g21626	-	1	-	1201514	1202251	0.047425	0.016652	0.020168
g21627	-	1	+	1207527	1210254	0.000000	0.000000	0.000000
g21629	-	1	+	1296441	1298102	3.292419	1.156069	1.400155
g21628	-	1	-	1234405	1276748	18.911156	6.640286	8.042275
g21630	-	1	-	1326918	1338740	40.754093	14.310012	17.331339
g21631	-	1	-	1347875	1349544	1.148924	0.403422	0.488599
g21632	-	1	+	1349810	1357710	19.538382	6.860524	8.309013
g21633	-	1	-	1361058	1381745	7.095309	2.491380	3.017395
g21634	-	1	+	1385571	1392430	46.022545	16.159925	19.571833
g21652	-	1	+	1664341	1667185	154.815292	54.360397	65.837715
g21653	-	1	+	1671954	1700430	19.593714	6.879953	8.332544
g21654	-	1	+	1701166	1707078	2.873371	1.008929	1.221948
g21655	-	1	-	1709460	1721830	12.714178	4.464338	5.406910
g21656	-	1	+	1721906	1725879	143.954880	50.546974	61.219147
g21657	-	1	-	1726722	1735015	175.936737	61.776779	74.819946
g21635	-	1	-	1396451	1417415	679.991028	238.765701	289.177216
g21636	-	1	+	1417568	1425363	26.081266	9.157931	11.091481
g21637	-	1	-	1427003	1427857	23.690058	8.318305	10.074581
g21638	-	1	-	1431855	1441370	0.000000	0.000000	0.000000
g21639	-	1	-	1442699	1443019	0.000000	0.000000	0.000000
g21640	-	1	-	1455017	1461600	136.048050	47.770641	57.856636
g21641	-	1	+	1461790	1482365	33.376614	11.719552	14.193946
g21642	-	1	-	1485768	1490221	91.079781	31.980902	38.733154
g21643	-	1	+	1498213	1500580	55.291668	19.414598	23.513678
g21644	-	1	-	1501925	1515543	38.451111	13.501363	16.351959
g21645	-	1	+	1515644	1593061	60.304195	21.174652	25.645336
g21646	-	1	-	1596778	1597269	0.000000	0.000000	0.000000
g21647	-	1	-	1597433	1598451	0.000000	0.000000	0.000000
g21648	-	1	-	1600981	1603957	560.233887	196.715286	238.248535
g21649	-	1	+	1604161	1611958	998.507141	350.606476	424.631348
g21650	-	1	-	1624523	1637721	152.156982	53.426979	64.707222
g21651	-	1	-	1639760	1648770	38.217476	13.419327	16.252602
g21658	-	1	+	1737732	1742672	569.943970	200.124802	242.377930
g21659	-	1	-	1749946	1765665	24.897243	8.742185	10.587956
g21660	-	1	+	1765998	1773941	24.240396	8.511546	10.308621
g21663	-	1	+	1788594	1809349	24.596260	8.636501	10.459958
g21661	-	1	-	1775583	1779292	810.631714	284.637634	344.734283
g21662	-	1	+	1779355	1781634	813.077026	285.496277	345.774200
g21664	-	1	+	1817015	1818862	101.199768	35.534340	43.036842
g21670	-	1	-	1851564	1852055	1.619919	0.568803	0.688897
g21671	-	1	+	1856734	1862442	2.321608	0.815188	0.987301
g21665	-	1	+	1821776	1822537	28.173229	9.892485	11.981123
g21666	-	1	-	1823732	1824430	71.276108	25.027227	30.311319
g21667	-	1	+	1824608	1835679	75.900932	26.651144	32.278103
g21669	-	1	+	1847388	1850319	18.343832	6.441082	7.801012
g21678	-	1	-	1924608	1926509	0.885384	0.310885	0.376524
g21672	-	1	+	1869053	1873028	26.515873	9.310535	11.276304
g21673	-	1	-	1874738	1876989	124.623077	43.758984	52.997986
g21674	-	1	+	1877095	1882171	26.530865	9.315800	11.282680
g21675	-	1	-	1883336	1889435	31.726538	11.140160	13.492225
g21677	-	1	-	1902335	1909826	56.103214	19.699558	23.858803
g21682	-	1	-	1944937	1947079	0.250000	0.087783	0.106317
g21681	-	1	-	1938653	1940964	514.291382	180.583466	218.710754
g21683	-	1	+	1953301	1968254	123.303810	43.295746	52.436943
g21684	-	1	+	1970772	1974318	12.631470	4.435296	5.371737
g21685	-	1	+	1984567	2003518	36.932198	12.968027	15.706015
g21688	-	1	+	2049578	2050600	0.869990	0.305480	0.369977
g21689	-	1	-	2059983	2060780	19.483707	6.841327	8.285763
g21686	-	1	+	2007243	2036975	39.771580	13.965020	16.913509
g21687	-	1	+	2041709	2042566	4.005827	1.406569	1.703543
g21690	-	1	+	2064873	2065865	117.179199	41.145206	49.832355
g21691	-	1	-	2071531	2083593	15.270833	5.362058	6.494169
g21692	-	1	+	2084265	2098448	33.576153	11.789617	14.278803
g21693	-	1	+	2103413	2104172	944.557495	331.663086	401.688385
g21696	-	1	-	2175815	2178349	243.957397	85.660919	103.746834
g21697	-	1	-	2183490	2184443	392.255768	137.733017	166.813126
g21698	-	1	-	2192681	2201442	69.365219	24.356255	29.498682
g21699	-	1	-	2206921	2207271	131.287766	46.099159	55.832253
g21700	-	1	-	2209757	2223543	148.810760	52.252018	63.284191
g21701	-	1	-	2230513	2232206	150.126434	52.713989	63.843700
g21702	-	1	+	2232380	2254937	41.585415	14.601913	17.684872
g21703	-	1	-	2256857	2267938	43.442772	15.254087	18.474743
g21704	-	1	+	2277230	2304315	19.837719	6.965631	8.436311
g21705	-	1	-	2311594	2345468	254.834579	89.480232	108.372536
g21706	-	1	+	2370843	2371787	29.106878	10.220317	12.378172
g21707	-	1	+	2390569	2392153	0.000000	0.000000	0.000000
g21708	-	1	-	2398989	2401514	306.176483	107.507950	130.206512
g21709	-	1	+	2402222	2416695	7.297753	2.562465	3.103488
g21710	-	1	-	2423039	2426056	283.207977	99.443008	120.438782
g21711	-	1	+	2445106	2445447	1.318713	0.463041	0.560804
g21714	-	1	+	2483360	2488971	32.643940	11.462288	13.882364
g21715	-	1	-	2492735	2501708	0.577011	0.202606	0.245383
g21713	-	1	-	2457801	2480051	43.949089	15.431872	18.690062
g21717	-	1	-	2531062	2533957	1.544647	0.542373	0.656886
g21716	-	1	-	2506259	2521776	68.652321	24.105934	29.195513
g21721	-	1	+	2548946	2617412	37.983315	13.337106	16.153021
g21723	-	1	+	2619255	2625409	142.151962	49.913910	60.452431
g21729	-	1	+	2741282	2742325	0.479406	0.168334	0.203875
g21727	-	1	+	2680167	2723369	52.134758	18.306110	22.171150
g21728	-	1	+	2731650	2732693	0.477490	0.167661	0.203060
g21731	-	1	+	2762550	2764304	1.593198	0.559421	0.677533
g21730	-	1	-	2748256	2760020	51.806259	18.190765	22.031452
g21738	-	1	+	2842437	2846764	0.805970	0.283001	0.342752
g21739	-	1	+	2861041	2874369	17.447411	6.126320	7.419794
g21732	-	1	-	2779907	2789826	232.489410	81.634155	98.869888
g21733	-	1	+	2802080	2810921	182.511154	64.085258	77.615829
g21734	-	1	-	2817403	2818158	0.000000	0.000000	0.000000
g21735	-	1	-	2818538	2818840	2.217822	0.778745	0.943165
g21736	-	1	+	2818940	2819770	0.000000	0.000000	0.000000
g21737	-	1	-	2820556	2823439	86.379616	30.330532	36.734333
g21740	-	1	-	2881617	2888372	6.232295	2.188350	2.650384
g21742	-	1	-	2898393	2899355	1.726982	0.606396	0.734427
g21744	-	1	-	2920847	2924472	8.521141	2.992034	3.623753
g21743	-	1	+	2902908	2918764	793.214294	278.521851	337.327240
g21745	-	1	-	2937235	2955005	54.966301	19.300352	23.375311
g21746	-	1	+	2960805	2961755	118.320984	41.546124	50.317917
g21747	-	1	+	2961767	2979106	178.298004	62.605896	75.824112
g21750	-	1	-	3062915	3067597	116.148148	40.783176	49.393883
g21751	-	1	+	3068049	3089658	62.754078	22.034880	26.687187
g21752	-	1	-	3091241	3097303	79.155617	27.793962	33.662209
g21753	-	1	+	3098199	3120601	52.991386	18.606899	22.535446
g21769	-	2	+	15400	16287	0.315315	0.110717	0.134093
g21777	-	2	+	69651	77802	0.000000	0.000000	0.000000
g21781	-	2	-	104743	105093	0.611111	0.214580	0.259885
g21783	-	2	+	115978	123365	0.000000	0.000000	0.000000
g21796	-	2	+	179465	184963	0.883543	0.310239	0.375741
g21799	-	2	-	208892	211608	0.574983	0.201894	0.244521
g21808	-	2	+	253367	259458	0.123636	0.043412	0.052578
g21809	-	2	-	260987	264460	0.048433	0.017006	0.020597
g21812	-	2	-	294757	295401	0.035659	0.012521	0.015165
g21813	-	2	-	295853	296368	0.000000	0.000000	0.000000
g21814	-	2	-	296608	297435	0.206522	0.072516	0.087827
g21754	-	1	+	3125992	3152597	46.903721	16.469334	19.946568
g21755	-	1	+	3165614	3172746	12.937998	4.542927	5.502093
g21756	-	1	+	3176728	3177291	23.381207	8.209858	9.943237
g21761	-	1	+	3194175	3199090	49.840260	17.500443	21.195379
g21762	-	1	+	3202783	3208946	24.791666	8.705114	10.543057
g21763	-	1	-	3217532	3220768	0.124246	0.043627	0.052838
g21764	-	1	+	3229704	3230333	0.382838	0.134426	0.162808
g21766	-	1	-	3245706	3247130	0.000000	0.000000	0.000000
g21826	-	2	+	332212	334114	0.175505	0.061625	0.074636
g21822	-	2	+	324770	326139	0.194041	0.068134	0.082519
g21823	-	2	+	326173	328314	1.480803	0.519955	0.629735
g21824	-	2	+	328452	329399	0.642245	0.225512	0.273125
g21837	-	2	+	365652	368636	0.000000	0.000000	0.000000
g21846	-	2	+	398983	399711	0.267760	0.094019	0.113869
g21852	-	2	+	420558	424547	0.000000	0.000000	0.000000
g21838	-	2	-	372024	376954	0.796556	0.279695	0.338748
g21840	-	2	-	380191	380571	0.000000	0.000000	0.000000
g21842	-	2	-	388933	389558	0.000000	0.000000	0.000000
g21866	-	2	+	482023	482460	0.582192	0.204425	0.247587
g21856	-	2	-	443526	445142	1.798810	0.631617	0.764973
g21857	-	2	+	447636	447986	0.273504	0.096036	0.116312
g21858	-	2	+	452394	453655	0.000000	0.000000	0.000000
g21861	-	2	+	469017	470286	0.000000	0.000000	0.000000
g21862	-	2	+	470355	471086	0.000000	0.000000	0.000000
g21863	-	2	+	471170	471460	0.000000	0.000000	0.000000
g21864	-	2	-	472376	478155	2.205260	0.774334	0.937823
g21867	-	2	+	485734	488498	0.987463	0.346729	0.419935
g21868	-	2	+	488675	489445	1.307073	0.458953	0.555854
g21870	-	2	+	494105	495943	0.253565	0.089034	0.107833
g21878	-	2	+	553648	598651	59.764381	20.985106	25.415771
g21879	-	2	-	607474	624823	73.307922	25.740658	31.175381
g21880	-	2	+	625616	647606	19.282175	6.770563	8.200058
g21881	-	2	+	685854	686894	98.025940	34.419910	41.687119
g21886	-	2	-	736763	739427	6.114072	2.146838	2.600108
g21892	-	2	-	765502	766458	0.315569	0.110806	0.134201
g21898	-	2	+	884061	886955	1.148334	0.403215	0.488348
g21894	-	2	+	781138	820334	240.227890	84.351372	102.160805
g21900	-	2	-	953681	957634	178.883026	62.811310	76.072906
g21901	-	2	-	961956	987338	126.005432	44.244366	53.585854
g21902	-	2	-	990398	1006841	18.248182	6.407496	7.760335
g21903	-	2	+	1009003	1029567	303.092865	106.425194	128.895157
g21904	-	2	-	1041522	1062656	404.122681	141.899857	171.859726
g21906	-	2	-	1071974	1129475	65.199509	22.893545	27.727148
g21907	-	2	-	1145506	1156476	42.462059	14.909731	18.057680
g21908	-	2	+	1156860	1160519	24.512154	8.606968	10.424191
g21909	-	2	+	1177892	1219935	78.647224	27.615450	33.446007
g21911	-	2	-	1246929	1247648	3.929157	1.379647	1.670938
g21910	-	2	-	1234675	1235748	220.331467	77.365128	93.699532
g21913	-	2	-	1290848	1291675	1.158816	0.406896	0.492805
g21914	-	2	-	1297861	1299294	0.841567	0.295500	0.357890
g21915	-	2	+	1299552	1300028	0.902714	0.316971	0.383894
g21916	-	2	-	1304194	1322331	0.138147	0.048508	0.058749
g21922	-	2	-	1438738	1439664	0.206471	0.072498	0.087805
g21929	-	2	-	1509829	1510221	0.055980	0.019656	0.023806
g21919	-	2	+	1397188	1397493	0.080065	0.028113	0.034049
g21921	-	2	-	1420387	1425461	0.260653	0.091523	0.110847
g21926	-	2	+	1479550	1483095	0.396406	0.139190	0.168578
g21927	-	2	+	1483176	1483742	2.268371	0.796495	0.964662
g21930	-	2	-	1511630	1512193	0.744681	0.261480	0.316688
g21940	-	2	+	1540851	1545611	0.370458	0.130079	0.157543
g21941	-	2	+	1614118	1616336	0.000000	0.000000	0.000000
g21947	-	2	+	1677919	1693133	0.614088	0.215625	0.261151
g21952	-	2	+	1845692	1846126	0.082759	0.029059	0.035195
g21955	-	2	+	1866798	1867169	1.837633	0.645249	0.781483
g21964	-	2	-	1903222	1904659	0.295858	0.103885	0.125818
g21974	-	2	-	1983612	1984774	0.000000	0.000000	0.000000
g21973	-	2	-	1980495	1982276	0.165321	0.058049	0.070305
g21987	-	2	-	2033669	2037407	0.482972	0.169586	0.205392
g21990	-	2	-	2049697	2050260	0.355674	0.124888	0.151256
g21993	-	2	+	2067446	2068402	0.151515	0.053202	0.064434
g21996	-	2	+	2075956	2080437	0.036591	0.012848	0.015561
g22001	-	2	-	2098835	2099662	0.001449	0.000509	0.000616
g22004	-	2	+	2122693	2124736	0.115162	0.040437	0.048975
g21999	-	2	-	2087875	2096656	0.446185	0.156669	0.189747
g22000	-	2	-	2096911	2098266	0.078321	0.027501	0.033307
g22005	-	2	+	2125100	2125735	0.232311	0.081572	0.098794
g22010	-	2	-	2168246	2169545	0.000000	0.000000	0.000000
g22017	-	2	+	2209786	2210778	0.514870	0.180787	0.218957
g22014	-	2	-	2187825	2196695	0.000000	0.000000	0.000000
g22016	-	2	-	2197983	2209106	0.000000	0.000000	0.000000
g22018	-	2	-	2230900	2231553	0.172783	0.060669	0.073479
g22022	-	2	-	2269183	2270160	0.120654	0.042365	0.051310
g22020	-	2	+	2245719	2252833	0.393607	0.138207	0.167388
g22039	-	2	-	2341701	2345401	1.112450	0.390615	0.473087
g22042	-	2	-	2358199	2358534	0.119048	0.041801	0.050627
g22043	-	2	+	2381002	2387851	1.614317	0.566836	0.686514
g22044	-	2	-	2388599	2389980	5.234749	1.838081	2.226162
g22046	-	2	+	2401839	2402645	0.107559	0.037767	0.045741
g22049	-	2	+	2404423	2406566	0.000000	0.000000	0.000000
g22052	-	2	-	2426401	2430271	1.901515	0.667680	0.808650
g22053	-	2	+	2431277	2431945	0.043348	0.015221	0.018434
g22055	-	2	-	2433275	2433961	0.260067	0.091317	0.110598
g22057	-	2	+	2439781	2442704	0.000000	0.000000	0.000000
g22056	-	2	-	2434014	2439746	0.963189	0.338205	0.409612
g22069	-	2	-	2486832	2487812	0.268434	0.094255	0.114156
g22075	-	2	+	2514219	2515250	1.096774	0.385111	0.466421
g22076	-	2	+	2516560	2517132	0.251309	0.088242	0.106873
g22086	-	2	+	2557103	2558229	0.000000	0.000000	0.000000
g22091	-	2	+	2589012	2589674	0.278455	0.097774	0.118418
g22098	-	2	+	2643337	2645117	0.197980	0.069517	0.084194
g22095	-	2	-	2607821	2611811	2.725622	0.957049	1.159115
g22106	-	2	-	2693981	2696189	0.000000	0.000000	0.000000
g22111	-	2	+	2714169	2721821	0.322777	0.113337	0.137266
g22115	-	2	+	2744301	2745368	0.357678	0.125592	0.152108
g22117	-	2	+	2758030	2758464	0.000000	0.000000	0.000000
g22121	-	2	+	2822673	2823332	0.010606	0.003724	0.004510
g22123	-	2	+	2843719	2845957	0.542708	0.190561	0.230795
g22124	-	2	-	2846957	2850457	0.000000	0.000000	0.000000
g22122	-	2	-	2834451	2834975	2.472381	0.868129	1.051420
g22125	-	2	-	2850740	2859620	0.000000	0.000000	0.000000
g22134	-	2	-	2893780	2896901	0.618036	0.217011	0.262830
g22138	-	2	-	2911012	2920426	0.000000	0.000000	0.000000
g22140	-	2	+	2928969	2931902	0.000000	0.000000	0.000000
g22145	-	2	+	2957956	2958492	0.268156	0.094158	0.114038
g22155	-	2	-	2988915	2989721	0.283457	0.099530	0.120545
g22163	-	2	+	3019202	3019828	0.484536	0.170135	0.206057
g22165	-	2	+	3022347	3031695	2.159676	0.758328	0.918437
g22166	-	2	-	3034455	3035221	3.546139	1.245158	1.508053
g22167	-	2	+	3035603	3035923	1.688473	0.592875	0.718051
g22168	-	2	+	3036135	3036719	1.632479	0.573213	0.694238
g22175	-	2	+	3054938	3056937	1.194928	0.419576	0.508162
g22177	-	2	+	3059403	3065817	0.553121	0.194218	0.235224
g22186	-	2	+	3089325	3091650	0.696580	0.244591	0.296232
g22190	-	2	-	3105095	3107212	0.057696	0.020259	0.024536
g22179	-	2	+	3069944	3072761	9.598112	3.370191	4.081753
g22180	-	2	-	3073314	3074990	0.974268	0.342095	0.414323
g22193	-	2	-	3113352	3114538	0.000000	0.000000	0.000000
g22197	-	2	+	3122679	3123422	2.260081	0.793584	0.961136
g22199	-	2	+	3143306	3150789	0.000000	0.000000	0.000000
g22201	-	2	+	3159516	3162920	0.063154	0.022175	0.026857
g22205	-	2	+	3212722	3215133	0.000000	0.000000	0.000000
g22202	-	2	-	3174707	3192267	0.318817	0.111946	0.135582
g22203	-	2	+	3192695	3195187	3.246033	1.139782	1.380428
g22210	-	2	+	3265547	3267208	0.847524	0.297592	0.360423
g22211	-	2	-	3268131	3269477	0.079807	0.028023	0.033939
g22212	-	2	+	3271305	3275602	0.917221	0.322064	0.390063
g22215	-	2	+	3298781	3299602	0.182482	0.064075	0.077603
g22214	-	2	+	3294635	3298608	1.751950	0.615163	0.745045
g22221	-	2	-	3325764	3328173	0.000000	0.000000	0.000000
g22223	-	2	+	3340291	3343569	0.000000	0.000000	0.000000
g22230	-	2	-	3403131	3404195	0.088889	0.031212	0.037801
g22237	-	2	-	3423936	3424373	0.890260	0.312598	0.378597
g22239	-	2	+	3428505	3429029	0.666667	0.234087	0.283511
g22241	-	2	-	3447982	3448620	0.000000	0.000000	0.000000
g22240	-	2	+	3441532	3445804	1.898756	0.666711	0.807477
g22244	-	3	-	21794	22282	0.188684	0.066253	0.080241
g22248	-	3	-	39993	42230	0.986890	0.346527	0.419691
g22249	-	3	+	46351	55333	14.297359	5.020241	6.080184
g22250	-	3	+	55562	57264	7.312250	2.567555	3.109653
g22256	-	3	+	134917	136281	0.000000	0.000000	0.000000
g22255	-	3	+	123378	124586	2.043838	0.717654	0.869175
g22252	-	3	+	72739	103818	142.805740	50.143475	60.730457
g22253	-	3	-	105498	107241	1030.101318	361.700134	438.067291
g22254	-	3	+	108354	114468	439.039154	154.160110	186.708527
g22257	-	3	+	140676	153160	1.759427	0.617789	0.748225
g22258	-	3	+	153185	202767	99.797577	35.041988	42.440536
g22259	-	3	-	215485	221741	77.618134	27.254107	33.008369
g22260	-	3	+	222203	225087	1414.812256	496.783936	601.671875
g22267	-	3	-	363434	374928	88.830315	31.191046	37.776531
g22264	-	3	+	273299	288416	40.928200	14.371145	17.405380
g22265	-	3	+	288805	292767	2.321542	0.815165	0.987273
g22266	-	3	-	293033	360001	31.332876	11.001933	13.324814
g22268	-	3	-	390508	402136	5.419206	1.902849	2.304605
g22269	-	3	+	402702	405516	127.389404	44.730324	54.174412
g22270	-	3	-	407601	408480	319.671051	112.246300	135.945297
g22271	-	3	+	409065	421159	6.757694	2.372833	2.873819
g22272	-	3	-	423585	431119	16.800833	5.899287	7.144826
g22273	-	3	+	433538	451455	71.861801	25.232882	30.560396
g22275	-	3	+	463107	464282	51.304420	18.014553	21.818037
g22276	-	3	+	466494	485984	75.495834	26.508902	32.105827
g22277	-	3	+	488690	499775	70.279930	24.677437	29.887678
g22279	-	3	-	529848	530441	0.000000	0.000000	0.000000
g22278	-	3	+	502726	527931	27.141712	9.530287	11.542453
g22281	-	3	-	537718	538995	2862.533447	1005.123291	1217.338745
g22287	-	3	-	623021	623569	0.041894	0.014710	0.017816
g22282	-	3	-	541328	541849	145.515320	51.094887	61.882744
g22283	-	3	-	546510	547058	324.299622	113.871536	137.913666
g22285	-	3	-	560929	561477	148.948090	52.300240	63.342594
g22288	-	3	-	640493	657587	112.524666	39.510857	47.852936
g22289	-	3	-	659016	662048	159.678894	56.068153	67.906036
g22298	-	4	-	194155	195289	51.842857	18.203617	22.047014
g22299	-	4	+	201376	202642	0.000000	0.000000	0.000000
g22300	-	4	-	202879	206375	26.016529	9.135201	11.063951
g22292	-	4	+	150	1549	215.205551	75.565262	91.519653
g22293	-	4	+	3966	5045	3.195472	1.122028	1.358926
g22294	-	4	-	5852	6586	0.756633	0.265677	0.321770
g22295	-	4	+	9618	19952	137.216263	48.180836	58.353436
g22296	-	4	-	24805	79004	33.527653	11.772586	14.258178
g22297	-	4	+	81907	151576	49.086498	17.235773	20.874830
g22305	-	4	-	351949	352578	4.209524	1.478093	1.790168
g22302	-	4	+	317701	329284	124.770531	43.810757	53.060688
g22304	-	4	-	342447	345894	1.474733	0.517824	0.627154
g22301	-	4	-	223874	307635	116.355583	40.856010	49.482098
g22307	-	4	+	402886	416463	0.000000	0.000000	0.000000
g22308	-	4	+	425831	426808	5.830182	2.047156	2.479379
g22309	-	4	+	427595	428482	21.839857	7.668643	9.287754
g22311	-	4	+	439860	443024	0.045182	0.015865	0.019214
g22312	-	4	-	448148	448876	0.000000	0.000000	0.000000
g22313	-	4	-	459942	460274	0.000000	0.000000	0.000000
g22314	-	4	+	464666	468607	1.423389	0.499795	0.605319
g22315	-	4	+	471405	519898	53.215118	18.685459	22.630592
g22316	-	4	+	526459	529793	26.509951	9.308456	11.273786
g22317	-	4	-	553046	574067	9.917226	3.482242	4.217461
g22318	-	4	+	581748	614954	78.321236	27.500986	33.307373
g22319	-	4	+	621279	625110	54.751110	19.224792	23.283798
g22320	-	4	-	626703	634084	1.894081	0.665070	0.805489
g22323	-	4	-	667293	669192	0.986726	0.346470	0.419621
g22324	-	4	+	681723	687038	13.606061	4.777505	5.786198
g22325	-	4	-	732096	736329	17.688057	6.210819	7.522132
g22326	-	4	+	736760	741666	14.924981	5.240618	6.347090
g22327	-	4	-	743618	759498	40.377869	14.177907	17.171343
g22329	-	4	-	778251	779183	38.369774	13.472804	16.317368
g22330	-	4	-	784630	817728	72.411041	25.425734	30.793968
g22331	-	4	+	818147	834774	101.063217	35.486393	42.978771
g22337	-	4	+	900901	902022	0.363636	0.127684	0.154642
g22338	-	4	+	910626	923996	0.000000	0.000000	0.000000
g22332	-	4	-	838538	841981	3.781764	1.327893	1.608256
g22333	-	4	-	853818	865690	96.289177	33.810081	40.948532
g22334	-	4	+	865818	866129	435.391022	152.879135	185.157089
g22335	-	4	-	867417	871776	162.498550	57.058220	69.105141
g22336	-	4	+	872020	886138	18.285294	6.420527	7.776118
g22372	-	4	+	1442400	1443293	1.565996	0.549869	0.665965
g22376	-	4	-	1501758	1506820	3.630996	1.274954	1.544140
g22377	-	4	+	1513561	1520610	14.748178	5.178537	6.271902
g22379	-	4	-	1537234	1546413	1.817565	0.638203	0.772949
g22380	-	4	+	1548875	1552126	14.739496	5.175489	6.268209
g22381	-	4	+	1554108	1564633	20.875000	7.329852	8.877432
g22382	-	4	-	1571070	1574805	0.311357	0.109327	0.132410
g22339	-	4	+	929995	943240	13.088951	4.595932	5.566288
g22340	-	4	-	947896	948732	8.345281	2.930284	3.548966
g22343	-	4	+	973589	984814	7852.969727	2757.418213	3339.602539
g22344	-	4	+	999156	1010127	0.820331	0.288043	0.348859
g22345	-	4	-	1012942	1024450	34.245525	12.024653	14.563464
g22346	-	4	+	1026576	1040653	21.597267	7.583463	9.184588
g22347	-	4	-	1047763	1054019	44.100243	15.484947	18.754343
g22348	-	4	-	1058877	1062379	266.122223	93.443665	113.172791
g22349	-	4	+	1065976	1067247	2.401920	0.843388	1.021455
g22350	-	4	-	1075926	1095229	392.770905	137.913910	167.032196
g22351	-	4	+	1095595	1146880	32.644157	11.462364	13.882458
g22352	-	4	+	1162870	1166128	0.000000	0.000000	0.000000
g22353	-	4	+	1187854	1193900	64.158691	22.528082	27.284523
g22354	-	4	-	1194025	1197569	18.380579	6.453985	7.816639
g22355	-	4	-	1203868	1214713	0.000000	0.000000	0.000000
g22359	-	4	-	1237960	1239024	4.449765	1.562449	1.892335
g22360	-	4	+	1254374	1255534	1.408269	0.494486	0.598889
g22361	-	4	+	1269848	1270849	7.710579	2.707421	3.279049
g22362	-	4	-	1292629	1296444	0.204140	0.071680	0.086814
g22363	-	4	+	1298468	1299586	6.507596	2.285016	2.767461
g22364	-	4	-	1310495	1311508	20.225838	7.101911	8.601365
g22365	-	4	-	1332155	1334302	16.764706	5.886602	7.129463
g22366	-	4	+	1364911	1389158	527.277100	185.143143	224.233124
g22384	-	4	-	1598488	1616067	184.742859	64.868881	78.564896
g22385	-	4	+	1626169	1631441	0.000000	0.000000	0.000000
g22386	-	4	+	1631778	1632158	0.191601	0.067277	0.081481
g22387	-	4	-	1638231	1655672	214.520798	75.324821	91.228447
g22388	-	4	+	1655986	1669430	7.946667	2.790318	3.379449
