Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21603	-	1	+	875739	924977	60.895859	21.509390	26.984032
g21605	-	1	+	934505	935482	1.636384	0.577997	0.725111
g21606	-	1	-	935674	936417	6.271395	2.215157	2.778966
g21609	-	1	-	952903	989352	67.554428	23.861301	29.934563
g21612	-	1	-	1026881	1027414	1.123595	0.396872	0.497885
g21614	-	1	+	1045444	1046427	161.853149	57.169113	71.719994
g21615	-	1	+	1064077	1065057	7.044852	2.488354	3.121698
g21619	-	1	-	1101300	1101608	17.899677	6.322452	7.931664
g21620	-	1	+	1121855	1134134	0.850015	0.300239	0.376657
g21621	-	1	+	1141502	1142461	247.080734	87.272858	109.485840
g21622	-	1	-	1166624	1169197	38.925224	13.749011	17.248455
g21623	-	1	-	1169258	1175136	3.745679	1.323034	1.659777
g21628	-	1	-	1234405	1276748	18.304560	6.465462	8.111074
g21629	-	1	+	1296441	1298102	14.492178	5.118869	6.421740
g21630	-	1	-	1326918	1338740	7.810935	2.758947	3.461163
g21631	-	1	-	1347875	1349544	1.397377	0.493576	0.619202
g21632	-	1	+	1349810	1357710	27.200331	9.607591	12.052947
g21633	-	1	-	1361058	1381745	8.387182	2.962487	3.716509
g21634	-	1	+	1385571	1392430	73.632851	26.008297	32.628017
g21635	-	1	-	1396451	1417415	703.982422	248.657822	311.947052
g21636	-	1	+	1417568	1425363	123.227272	43.525841	54.604183
g21637	-	1	-	1427003	1427857	116.423393	41.122601	51.589264
g21640	-	1	-	1455017	1461600	171.827332	60.692154	76.139725
g21641	-	1	+	1461790	1482365	31.203489	11.021570	13.826818
g21642	-	1	-	1485768	1490221	165.432068	58.433247	73.305870
g21643	-	1	+	1498213	1500580	81.061592	28.632248	35.919823
g21644	-	1	-	1501925	1515543	49.986221	17.655931	22.149778
g21645	-	1	+	1515644	1593061	59.935287	21.170101	26.558386
g21648	-	1	-	1600981	1603957	346.548401	122.406425	153.561722
g21649	-	1	+	1604161	1611958	841.079773	297.082794	372.697296
g21650	-	1	-	1624523	1637721	136.917206	48.361343	60.670433
g21651	-	1	-	1639760	1648770	40.924919	14.455334	18.134556
g21652	-	1	+	1664341	1667185	134.023193	47.339130	59.388046
g21653	-	1	+	1671954	1700430	28.714117	10.142284	12.723733
g21654	-	1	+	1701166	1707078	7.437616	2.627084	3.295739
g21655	-	1	-	1709460	1721830	18.034691	6.370140	7.991490
g21656	-	1	+	1721906	1725879	138.527618	48.930168	61.384037
g21657	-	1	-	1726722	1735015	165.605225	58.494408	73.382607
g21658	-	1	+	1737732	1742672	456.393951	161.205627	202.236221
g21659	-	1	-	1749946	1765665	16.991407	6.001636	7.529193
g21660	-	1	+	1765998	1773941	27.929369	9.865099	12.375997
g21661	-	1	-	1775583	1779292	840.318542	296.813904	372.359985
g21662	-	1	+	1779355	1781634	709.388672	250.567398	314.342651
g21663	-	1	+	1788594	1809349	41.687935	14.724843	18.472662
g21664	-	1	+	1817015	1818862	84.304794	29.777800	37.356945
g21671	-	1	+	1856734	1862442	6.495812	2.294425	2.878409
g21672	-	1	+	1869053	1873028	17.205027	6.077090	7.623851
g21665	-	1	+	1821776	1822537	29.748032	10.507480	13.181879
g21666	-	1	-	1823732	1824430	74.911301	26.459867	33.194523
g21667	-	1	+	1824608	1835679	108.961517	38.486946	48.282776
g21669	-	1	+	1847388	1850319	10.670604	3.769027	4.728333
g21670	-	1	-	1851564	1852055	0.000000	0.000000	0.000000
g21673	-	1	-	1874738	1876989	66.307693	23.420937	29.382111
g21674	-	1	+	1877095	1882171	26.859053	9.487046	11.901721
g21675	-	1	-	1883336	1889435	23.951456	8.460036	10.613314
g21678	-	1	-	1924608	1926509	2.144322	0.757409	0.950187
g21677	-	1	-	1902335	1909826	55.316868	19.538801	24.511883
g21681	-	1	-	1938653	1940964	380.555542	134.418289	168.630890
g21682	-	1	-	1944937	1947079	3.620172	1.278702	1.604162
g21683	-	1	+	1953301	1968254	112.351425	39.684319	49.784901
g21684	-	1	+	1970772	1974318	8.041408	2.840353	3.563290
g21685	-	1	+	1984567	2003518	33.682575	11.897223	14.925344
g21686	-	1	+	2007243	2036975	54.553768	19.269262	24.173738
g21687	-	1	+	2041709	2042566	2.955711	1.044004	1.309728
g21688	-	1	+	2049578	2050600	0.378299	0.133621	0.167631
g21689	-	1	-	2059983	2060780	32.838345	11.599028	14.551250
g21690	-	1	+	2064873	2065865	117.261650	41.418686	51.960709
g21691	-	1	-	2071531	2083593	17.803442	6.288460	7.889020
g21692	-	1	+	2084265	2098448	45.243690	15.980794	20.048279
g21693	-	1	+	2103413	2104172	735.179626	259.677185	325.771088
g21696	-	1	-	2175815	2178349	150.684418	53.224140	66.770927
g21697	-	1	-	2183490	2184443	291.820740	103.075737	129.310928
g21698	-	1	-	2192681	2201442	65.253624	23.048622	28.915033
g21699	-	1	-	2206921	2207271	106.954414	37.778008	47.393391
g21700	-	1	-	2209757	2223543	95.269012	33.650536	42.215385
g21701	-	1	-	2230513	2232206	121.578545	42.943481	53.873600
g21702	-	1	+	2232380	2254937	40.244663	14.215057	17.833122
g21703	-	1	-	2256857	2267938	35.589359	12.570729	15.770274
g21704	-	1	+	2277230	2304315	24.996038	8.829000	11.076186
g21706	-	1	+	2370843	2371787	22.871958	8.078740	10.134969
g21705	-	1	-	2311594	2345468	259.523987	91.668015	114.999664
g21708	-	1	-	2398989	2401514	195.102936	68.913467	86.453560
g21709	-	1	+	2402222	2416695	7.749063	2.737093	3.433747
g21710	-	1	-	2423039	2426056	248.339233	87.717384	110.043503
g21711	-	1	+	2445106	2445447	2.014620	0.711596	0.892714
g21713	-	1	-	2457801	2480051	52.897934	18.684395	23.440008
g21714	-	1	+	2483360	2488971	62.075756	21.926147	27.506865
g21715	-	1	-	2492735	2501708	0.851954	0.300924	0.377516
g21717	-	1	-	2531062	2533957	1.449743	0.512072	0.642407
g21716	-	1	-	2506259	2521776	63.894775	22.568653	28.312904
g21721	-	1	+	2548946	2617412	42.164284	14.893099	18.683739
g21723	-	1	+	2619255	2625409	151.140518	53.385242	66.973030
g21728	-	1	+	2731650	2732693	1.072477	0.378816	0.475234
g21727	-	1	+	2680167	2723369	58.723660	20.742134	26.021492
g21731	-	1	+	2762550	2764304	1.879804	0.663977	0.832974
g21729	-	1	+	2741282	2742325	1.198591	0.423361	0.531117
g21730	-	1	-	2748256	2760020	41.274960	14.578974	18.289665
g21738	-	1	+	2842437	2846764	0.771144	0.272380	0.341708
g21732	-	1	-	2779907	2789826	238.763672	84.335136	105.800400
g21733	-	1	+	2802080	2810921	171.413696	60.546055	75.956436
g21734	-	1	-	2817403	2818158	0.174603	0.061673	0.077370
g21735	-	1	-	2818538	2818840	0.000000	0.000000	0.000000
g21736	-	1	+	2818940	2819770	0.000000	0.000000	0.000000
g21737	-	1	-	2820556	2823439	141.445694	49.960876	62.677090
g21739	-	1	+	2861041	2874369	23.132507	8.170771	10.250423
g21740	-	1	-	2881617	2888372	5.768650	2.037579	2.556191
g21743	-	1	+	2902908	2918764	742.610168	262.301758	329.063690
g21744	-	1	-	2920847	2924472	15.002950	5.299281	6.648072
g21745	-	1	-	2937235	2955005	44.098900	15.576435	19.541002
g21746	-	1	+	2960805	2961755	54.222221	19.152153	24.026825
g21747	-	1	+	2961767	2979106	141.291672	49.906471	62.608833
g21750	-	1	-	3062915	3067597	116.945328	41.306957	51.820541
g21751	-	1	+	3068049	3089658	51.802753	18.297560	22.954716
g21752	-	1	-	3091241	3097303	142.964630	50.497391	63.350151
g21753	-	1	+	3098199	3120601	46.960110	16.587061	20.808853
g21767	-	2	-	6488	6931	0.064414	0.022752	0.028543
g21777	-	2	+	69651	77802	0.000000	0.000000	0.000000
g21783	-	2	+	115978	123365	0.184469	0.065157	0.081741
g21795	-	2	+	174011	175376	0.730047	0.257864	0.323497
g21799	-	2	-	208892	211608	0.326526	0.115334	0.144689
g21815	-	2	-	298242	298649	0.208333	0.073587	0.092316
g21754	-	1	+	3125992	3152597	48.414253	17.100687	21.453211
g21755	-	1	+	3165614	3172746	12.196814	4.308109	5.404624
g21756	-	1	+	3176728	3177291	6.948581	2.454350	3.079039
g21761	-	1	+	3194175	3199090	27.214670	9.612656	12.059301
g21762	-	1	+	3202783	3208946	60.358334	21.319527	26.745844
g21763	-	1	-	3217532	3220768	7.554179	2.668257	3.347390
g21764	-	1	+	3229704	3230333	0.000000	0.000000	0.000000
g21766	-	1	-	3245706	3247130	0.432269	0.152684	0.191546
g21823	-	2	+	326173	328314	0.072994	0.025783	0.032345
g21826	-	2	+	332212	334114	0.684614	0.241817	0.303365
g21828	-	2	+	335933	336328	0.136364	0.048166	0.060425
g21838	-	2	-	372024	376954	0.000000	0.000000	0.000000
g21842	-	2	-	388933	389558	0.520468	0.183838	0.230629
g21848	-	2	+	408339	409391	0.363636	0.128442	0.161134
g21856	-	2	-	443526	445142	1.005952	0.355318	0.445755
g21857	-	2	+	447636	447986	0.000000	0.000000	0.000000
g21858	-	2	+	452394	453655	0.000000	0.000000	0.000000
g21861	-	2	+	469017	470286	0.000000	0.000000	0.000000
g21862	-	2	+	470355	471086	0.000000	0.000000	0.000000
g21863	-	2	+	471170	471460	0.000000	0.000000	0.000000
g21864	-	2	-	472376	478155	3.222678	1.138301	1.428026
g21865	-	2	+	481474	481974	0.000000	0.000000	0.000000
g21866	-	2	+	482023	482460	0.000000	0.000000	0.000000
g21867	-	2	+	485734	488498	0.984901	0.347883	0.436427
g21868	-	2	+	488675	489445	1.453944	0.513556	0.644268
g21870	-	2	+	494105	495943	0.000000	0.000000	0.000000
g21873	-	2	+	512744	513142	0.000000	0.000000	0.000000
g21874	-	2	+	517191	517613	0.000000	0.000000	0.000000
g21875	-	2	+	519146	520009	0.000000	0.000000	0.000000
g21878	-	2	+	553648	598651	60.352245	21.317377	26.743147
g21879	-	2	-	607474	624823	185.832443	65.638985	82.345642
g21880	-	2	+	625616	647606	21.417267	7.564920	9.490369
g21884	-	2	+	710149	722230	0.000000	0.000000	0.000000
g21885	-	2	+	728410	732054	0.404692	0.142944	0.179326
g21881	-	2	+	685854	686894	43.961575	15.527929	19.480152
g21886	-	2	-	736763	739427	1.632509	0.576628	0.723394
g21887	-	2	-	744846	745238	1.582697	0.559034	0.701321
g21888	-	2	-	748514	750619	0.000000	0.000000	0.000000
g21889	-	2	+	752337	753564	0.000000	0.000000	0.000000
g21892	-	2	-	765502	766458	0.080251	0.028346	0.035561
g21893	-	2	+	769271	777949	5.532292	1.954094	2.451456
g21894	-	2	+	781138	820334	207.498611	73.291817	91.946304
g21898	-	2	+	884061	886955	1.970851	0.696136	0.873319
g21900	-	2	-	953681	957634	116.605980	41.187092	51.670170
g21901	-	2	-	961956	987338	76.729424	27.102058	34.000164
g21902	-	2	-	990398	1006841	12.581516	4.443992	5.575092
g21903	-	2	+	1009003	1029567	316.439178	111.771362	140.219788
g21905	-	2	+	1067970	1068872	0.263566	0.093096	0.116791
g21904	-	2	-	1041522	1062656	187.556732	66.248032	83.109703
g21907	-	2	-	1145506	1156476	31.841463	11.246913	14.109515
g21906	-	2	-	1071974	1129475	59.961388	21.179319	26.569950
g21908	-	2	+	1156860	1160519	19.118055	6.752802	8.471548
g21909	-	2	+	1177892	1219935	67.053635	23.684414	29.712652
g21913	-	2	-	1290848	1291675	1.036232	0.366014	0.459173
g21910	-	2	-	1234675	1235748	138.389206	48.881275	61.322701
g21911	-	2	-	1246929	1247648	0.040556	0.014325	0.017971
g21914	-	2	-	1297861	1299294	0.478384	0.168973	0.211980
g21915	-	2	+	1299552	1300028	0.394971	0.139510	0.175019
g21916	-	2	-	1304194	1322331	0.169826	0.059985	0.075253
g21919	-	2	+	1397188	1397493	0.009804	0.003463	0.004344
g21922	-	2	-	1438738	1439664	0.148435	0.052430	0.065774
g21921	-	2	-	1420387	1425461	0.441372	0.155900	0.195580
g21924	-	2	-	1460182	1463226	0.000000	0.000000	0.000000
g21925	-	2	-	1469971	1474979	0.546142	0.192906	0.242005
g21927	-	2	+	1483176	1483742	2.952970	1.043036	1.308513
g21931	-	2	+	1513811	1514320	0.122549	0.043286	0.054304
g21926	-	2	+	1479550	1483095	0.720124	0.254359	0.319100
g21940	-	2	+	1540851	1545611	0.064095	0.022639	0.028402
g21947	-	2	+	1677919	1693133	0.000000	0.000000	0.000000
g21955	-	2	+	1866798	1867169	0.038978	0.013768	0.017272
g21964	-	2	-	1903222	1904659	0.041645	0.014710	0.018454
g21974	-	2	-	1983612	1984774	0.292389	0.103276	0.129563
g21973	-	2	-	1980495	1982276	0.368223	0.130062	0.163166
g21990	-	2	-	2049697	2050260	0.303191	0.107092	0.134349
g21995	-	2	+	2075072	2075854	2.662835	0.940556	1.179949
g21996	-	2	+	2075956	2080437	3.557787	1.256667	1.576518
g22002	-	2	-	2100027	2107378	0.000000	0.000000	0.000000
g21999	-	2	-	2087875	2096656	1.425318	0.503445	0.631584
g22000	-	2	-	2096911	2098266	0.249787	0.088229	0.110685
g22004	-	2	+	2122693	2124736	0.000000	0.000000	0.000000
g22005	-	2	+	2125100	2125735	0.083333	0.029435	0.036926
g22007	-	2	+	2128138	2128470	0.360360	0.127285	0.159682
g22017	-	2	+	2209786	2210778	0.499816	0.176543	0.221477
g22014	-	2	-	2187825	2196695	0.788771	0.278606	0.349518
g22016	-	2	-	2197983	2209106	0.000000	0.000000	0.000000
g22023	-	2	+	2271102	2271398	0.855219	0.302077	0.378963
g22020	-	2	+	2245719	2252833	0.629229	0.222254	0.278822
g22049	-	2	+	2404423	2406566	0.048975	0.017299	0.021702
g22051	-	2	+	2423731	2424453	0.000000	0.000000	0.000000
g22043	-	2	+	2381002	2387851	3.360950	1.187141	1.489296
g22044	-	2	-	2388599	2389980	2.434997	0.860080	1.078990
g22052	-	2	-	2426401	2430271	7.693723	2.717546	3.409225
g22055	-	2	-	2433275	2433961	0.911934	0.322110	0.404094
g22056	-	2	-	2434014	2439746	1.634243	0.577241	0.724162
g22066	-	2	+	2481592	2481885	3.132653	1.106503	1.388134
g22067	-	2	+	2482412	2484130	3.582070	1.265244	1.587278
g22073	-	2	+	2497723	2512856	0.000000	0.000000	0.000000
g22074	-	2	+	2512868	2513817	0.000000	0.000000	0.000000
g22085	-	2	+	2554961	2556807	0.000000	0.000000	0.000000
g22086	-	2	+	2557103	2558229	4.464706	1.577005	1.978390
g22087	-	2	-	2558736	2559494	1.168923	0.412882	0.517970
g22095	-	2	-	2607821	2611811	0.348225	0.122999	0.154305
g22105	-	2	+	2690640	2691542	0.039590	0.013984	0.017543
g22106	-	2	-	2693981	2696189	0.340307	0.120202	0.150796
g22109	-	2	-	2711063	2711428	0.442623	0.156341	0.196134
g22111	-	2	+	2714169	2721821	0.769376	0.271756	0.340924
g22113	-	2	+	2733358	2734261	5.136150	1.814170	2.275919
g22115	-	2	+	2744301	2745368	0.628745	0.222083	0.278608
g22119	-	2	+	2802387	2803109	0.197787	0.069862	0.087643
g22126	-	2	-	2860145	2862451	0.334746	0.118238	0.148332
g22123	-	2	+	2843719	2845957	0.886979	0.313295	0.393036
g22124	-	2	-	2846957	2850457	0.000000	0.000000	0.000000
g22125	-	2	-	2850740	2859620	0.406481	0.143576	0.180119
g22127	-	2	-	2865077	2865499	1.739953	0.614579	0.771004
g22128	-	2	-	2865700	2867195	1.223270	0.432078	0.542053
g22129	-	2	+	2867677	2878251	0.105853	0.037389	0.046905
g22138	-	2	-	2911012	2920426	0.166667	0.058869	0.073853
g22134	-	2	-	2893780	2896901	1.173695	0.414568	0.520085
g22140	-	2	+	2928969	2931902	0.934359	0.330031	0.414031
g22155	-	2	-	2988915	2989721	0.044610	0.015757	0.019767
g22163	-	2	+	3019202	3019828	0.000000	0.000000	0.000000
g22175	-	2	+	3054938	3056937	0.069566	0.024572	0.030826
g22165	-	2	+	3022347	3031695	2.559564	0.904079	1.134188
g22166	-	2	-	3034455	3035221	3.981168	1.406212	1.764126
g22167	-	2	+	3035603	3035923	5.545171	1.958643	2.457163
g22168	-	2	+	3036135	3036719	7.141881	2.522626	3.164694
g22177	-	2	+	3059403	3065817	0.000000	0.000000	0.000000
g22182	-	2	+	3079248	3080163	0.000000	0.000000	0.000000
g22183	-	2	+	3080656	3081042	0.746770	0.263771	0.330907
g22186	-	2	+	3089325	3091650	0.000000	0.000000	0.000000
g22190	-	2	-	3105095	3107212	0.436467	0.154167	0.193406
g22193	-	2	-	3113352	3114538	0.000000	0.000000	0.000000
g22194	-	2	+	3115178	3115881	0.000000	0.000000	0.000000
g22197	-	2	+	3122679	3123422	0.339718	0.119994	0.150535
g22199	-	2	+	3143306	3150789	0.000000	0.000000	0.000000
g22201	-	2	+	3159516	3162920	0.000000	0.000000	0.000000
g22203	-	2	+	3192695	3195187	0.943769	0.333354	0.418201
g22202	-	2	-	3174707	3192267	0.000000	0.000000	0.000000
g22205	-	2	+	3212722	3215133	0.000000	0.000000	0.000000
g22210	-	2	+	3265547	3267208	1.982158	0.700130	0.878329
g22212	-	2	+	3271305	3275602	0.269594	0.095225	0.119462
g22214	-	2	+	3294635	3298608	1.067343	0.377003	0.472959
g22221	-	2	-	3325764	3328173	0.000000	0.000000	0.000000
g22223	-	2	+	3340291	3343569	0.905243	0.319746	0.401129
g22241	-	2	-	3447982	3448620	0.000000	0.000000	0.000000
g22240	-	2	+	3441532	3445804	0.000000	0.000000	0.000000
g22244	-	3	-	21794	22282	1.104842	0.390248	0.489575
g22248	-	3	-	39993	42230	1.237172	0.436989	0.548213
g22249	-	3	+	46351	55333	13.951767	4.927987	6.182274
g22250	-	3	+	55562	57264	16.318462	5.763941	7.230999
g22252	-	3	+	72739	103818	78.473854	27.718218	34.773151
g22253	-	3	-	105498	107241	832.198853	293.945923	368.762024
g22254	-	3	+	108354	114468	240.486343	84.943619	106.563744
g22255	-	3	+	123378	124586	3.261095	1.151871	1.445049
g22256	-	3	+	134917	136281	0.000000	0.000000	0.000000
g22257	-	3	+	140676	153160	2.388638	0.843705	1.058448
g22258	-	3	+	153185	202767	132.406372	46.768044	58.671604
g22259	-	3	-	215485	221741	154.950836	54.731106	68.661453
g22260	-	3	+	222203	225087	1765.218018	623.503174	782.199341
g22264	-	3	+	273299	288416	34.765522	12.279737	15.405218
g22265	-	3	+	288805	292767	2.058258	0.727010	0.912050
g22266	-	3	-	293033	360001	43.509769	15.368344	19.279947
g22268	-	3	-	390508	402136	7.795937	2.753649	3.454518
g22267	-	3	-	363434	374928	75.610107	26.706696	33.504173
g22269	-	3	+	402702	405516	228.218063	80.610260	101.127457
g22270	-	3	-	407601	408480	275.935669	97.464874	122.271980
g22271	-	3	+	409065	421159	8.039197	2.839573	3.562310
g22272	-	3	-	423585	431119	32.364014	11.431486	14.341066
g22273	-	3	+	433538	451455	50.195759	17.729942	22.242628
g22275	-	3	+	463107	464282	47.925171	16.927935	21.236490
g22276	-	3	+	466494	485984	86.684982	30.618519	38.411648
g22277	-	3	+	488690	499775	107.516884	37.976681	47.642632
g22279	-	3	-	529848	530441	0.000000	0.000000	0.000000
g22280	-	3	-	531618	532199	0.989691	0.349575	0.438550
g22278	-	3	+	502726	527931	29.067314	10.267039	12.880240
g22281	-	3	-	537718	538995	2749.802490	971.274109	1218.486084
g22282	-	3	-	541328	541849	307.444458	108.594284	136.234070
g22283	-	3	-	546510	547058	109.827866	38.792953	48.666668
g22285	-	3	-	560929	561477	55.693077	19.671684	24.678587
g22288	-	3	-	640493	657587	128.969177	45.553970	57.148521
g22289	-	3	-	659016	662048	143.333328	50.627617	63.513531
g22292	-	4	+	150	1549	181.677780	64.171494	80.504631
g22293	-	4	+	3966	5045	0.751841	0.265562	0.333154
g22294	-	4	-	5852	6586	0.336724	0.118936	0.149208
g22295	-	4	+	9618	19952	122.878464	43.402634	54.449619
g22298	-	4	-	194155	195289	72.114288	25.471918	31.955116
g22299	-	4	+	201376	202642	0.000000	0.000000	0.000000
g22300	-	4	-	202879	206375	39.410469	13.920407	17.463474
g22296	-	4	-	24805	79004	42.247845	14.922612	18.720766
g22297	-	4	+	81907	151576	54.406132	19.217113	24.108318
g22302	-	4	+	317701	329284	72.134056	25.478901	31.963875
g22304	-	4	-	342447	345894	2.896152	1.022967	1.283336
g22301	-	4	-	223874	307635	98.733429	34.874226	43.750530
g22305	-	4	-	351949	352578	8.785714	3.103255	3.893105
g22307	-	4	+	402886	416463	0.098251	0.034704	0.043537
g22308	-	4	+	425831	426808	6.586862	2.326585	2.918755
g22309	-	4	+	427595	428482	18.227407	6.438211	8.076887
g22310	-	4	-	437225	437842	0.631068	0.222903	0.279637
g22311	-	4	+	439860	443024	3.396840	1.199818	1.505200
g22312	-	4	-	448148	448876	0.283951	0.100296	0.125824
g22313	-	4	-	459942	460274	0.000000	0.000000	0.000000
g22314	-	4	+	464666	468607	5.367326	1.895825	2.378357
g22315	-	4	+	471405	519898	69.437729	24.526514	30.769085
g22316	-	4	+	526459	529793	12.723881	4.494278	5.638176
g22317	-	4	-	553046	574067	11.888347	4.199154	5.267937
g22318	-	4	+	581748	614954	69.650330	24.601606	30.863291
g22319	-	4	+	621279	625110	44.466667	15.706337	19.703966
g22320	-	4	-	626703	634084	0.509346	0.179909	0.225700
g22323	-	4	-	667293	669192	1.638643	0.578795	0.726112
g22324	-	4	+	681723	687038	40.310608	14.238350	17.862343
g22329	-	4	-	778251	779183	23.830654	8.417368	10.559784
g22325	-	4	-	732096	736329	22.871658	8.078635	10.134836
g22326	-	4	+	736760	741666	22.679041	8.010599	10.049483
g22327	-	4	-	743618	759498	56.188934	19.846828	24.898312
g22332	-	4	-	838538	841981	1.094170	0.386478	0.484846
g22330	-	4	-	784630	817728	59.275276	20.936974	26.265923
g22331	-	4	+	818147	834774	88.346878	31.205526	39.148064
g22337	-	4	+	900901	902022	1.152406	0.407048	0.510651
g22339	-	4	+	929995	943240	14.933520	5.274758	6.617307
g22333	-	4	-	853818	865690	72.942070	25.764303	32.321922
g22334	-	4	+	865818	866129	385.919861	136.313065	171.007919
g22335	-	4	-	867417	871776	132.673920	46.862545	58.790157
g22336	-	4	+	872020	886138	19.963726	7.051507	8.846280
g22340	-	4	-	947896	948732	51.718040	18.267637	22.917177
g22344	-	4	+	999156	1010127	6.513002	2.300496	2.886026
g22343	-	4	+	973589	984814	4187.227051	1478.995483	1855.434326
g22345	-	4	-	1012942	1024450	58.400928	20.628139	25.878483
g22346	-	4	+	1026576	1040653	30.006472	10.598764	13.296398
g22347	-	4	-	1047763	1054019	40.955254	14.466049	18.147997
g22348	-	4	-	1058877	1062379	204.597778	72.267197	90.660889
g22349	-	4	+	1065976	1067247	1.201878	0.424522	0.532573
g22355	-	4	-	1203868	1214713	0.000000	0.000000	0.000000
g22353	-	4	+	1187854	1193900	63.950798	22.588442	28.337730
g22354	-	4	-	1194025	1197569	15.078740	5.326052	6.681656
g22350	-	4	-	1075926	1095229	314.189545	110.976761	139.222931
g22351	-	4	+	1095595	1146880	40.602047	14.341290	17.991486
g22359	-	4	-	1237960	1239024	13.733334	4.850833	6.085483
g22360	-	4	+	1254374	1255534	3.867356	1.366012	1.713694
g22361	-	4	+	1269848	1270849	16.811377	5.938046	7.449418
g22362	-	4	-	1292629	1296444	0.037736	0.013329	0.016721
g22363	-	4	+	1298468	1299586	4.130474	1.458949	1.830286
g22364	-	4	-	1310495	1311508	26.586784	9.390876	11.781074
g22365	-	4	-	1332155	1334302	0.768627	0.271491	0.340592
g22366	-	4	+	1364911	1389158	300.720825	106.219391	133.254715
g22372	-	4	+	1442400	1443293	3.404922	1.202673	1.508781
g22376	-	4	-	1501758	1506820	9.353014	3.303634	4.144486
g22377	-	4	+	1513561	1520610	18.237244	6.441685	8.081245
g22379	-	4	-	1537234	1546413	5.050699	1.783988	2.238054
g22382	-	4	-	1571070	1574805	0.276180	0.097551	0.122380
g22380	-	4	+	1548875	1552126	37.355743	13.194645	16.552990
g22381	-	4	+	1554108	1564633	25.662037	9.064240	11.371302
g22384	-	4	-	1598488	1616067	250.719604	88.558167	111.098289
g22385	-	4	+	1626169	1631441	1.046584	0.369670	0.463760
g22386	-	4	+	1631778	1632158	1.125984	0.397716	0.498943
g22387	-	4	-	1638231	1655672	233.778351	82.574242	103.591324
g22388	-	4	+	1655986	1669430	6.035555	2.131854	2.674461
g22389	-	4	-	1671826	1678256	960.072266	339.112854	425.424988
g22390	-	4	+	1682428	1684203	0.336711	0.118932	0.149203
g22391	-	4	-	1688435	1696501	5093.611816	1799.145020	2257.069580
g22393	-	4	+	1708722	1725473	52.782326	18.643560	23.388781
g22394	-	4	+	1730790	1735611	33.382248	11.791142	14.792264
g22395	-	4	-	1736123	1742020	54.794788	19.354393	24.280539
g22396	-	4	-	1744830	1751346	135.394516	47.823505	59.995701
